doesHaveLinks,doesHaveSpammyWords,lengthOfText,numberOfSymbols,classLabel
False,True,111,9,ham
False,False,29,6,ham
False,True,155,6,spam
False,False,49,6,ham
False,False,61,2,ham
False,True,148,8,spam
False,False,77,2,ham
False,True,160,6,ham
False,True,158,6,spam
False,True,154,2,spam
False,False,109,6,ham
False,True,136,8,spam
True,True,156,8,spam
False,False,196,4,ham
False,False,35,2,ham
True,True,149,11,spam
True,False,26,6,ham
False,False,81,5,ham
False,False,58,1,ham
True,True,156,8,spam
False,False,41,1,ham
False,False,49,0,ham
False,False,53,7,ham
False,True,88,3,ham
False,False,57,2,ham
False,False,144,7,ham
False,False,30,1,ham
False,False,134,6,ham
False,False,75,7,ham
False,False,64,4,ham
False,False,130,4,ham
False,True,189,7,ham
False,False,29,1,ham
False,False,84,1,ham
False,True,159,2,spam
False,True,123,7,ham
False,False,47,3,ham
False,False,28,0,ham
False,False,27,6,ham
False,False,155,7,ham
False,True,82,3,ham
False,False,142,15,ham
False,True,172,5,spam
False,False,19,1,ham
False,False,72,10,ham
False,False,32,4,ham
False,True,45,2,ham
False,False,31,2,ham
False,False,67,2,ham
False,True,148,7,ham
False,False,58,2,ham
False,False,124,11,ham
False,False,80,1,ham
False,False,289,14,ham
True,True,120,5,spam
False,False,76,6,ham
False,True,161,12,spam
False,True,34,3,ham
False,False,22,0,ham
False,False,40,3,ham
False,False,108,5,ham
False,False,48,2,ham
False,False,25,0,ham
False,False,56,2,ham
False,False,110,2,ham
False,True,153,3,spam
False,True,122,8,ham
False,True,161,10,spam
False,True,78,5,spam
False,False,34,1,ham
False,False,46,9,ham
False,False,29,1,ham
False,False,45,1,ham
True,False,42,6,ham
False,True,20,3,ham
False,True,43,2,ham
False,False,73,2,ham
True,False,50,3,ham
False,False,42,5,ham
False,False,76,4,ham
False,True,22,2,ham
False,True,32,2,ham
False,False,32,0,ham
False,False,36,0,ham
False,False,14,1,ham
False,True,55,5,ham
False,False,121,4,ham
False,True,144,4,ham
False,False,42,1,ham
False,False,41,5,ham
False,False,62,3,ham
False,False,195,5,ham
False,False,141,2,ham
False,True,139,2,spam
False,False,107,3,ham
False,True,124,5,spam
False,False,33,3,ham
False,False,51,1,ham
False,True,696,31,ham
False,False,44,0,ham
False,False,95,2,ham
False,True,43,2,ham
False,False,82,1,ham
False,False,115,6,ham
False,False,30,3,ham
False,False,40,1,ham
False,False,31,2,ham
False,True,96,4,ham
False,True,159,6,spam
False,False,143,15,ham
False,False,156,13,ham
False,True,153,7,spam
False,False,72,4,ham
False,False,86,6,ham
True,True,144,3,spam
False,True,157,6,spam
False,True,53,3,ham
False,True,156,2,spam
False,False,52,1,ham
False,False,40,3,ham
False,False,20,2,ham
False,True,244,9,ham
False,False,22,1,ham
False,True,107,4,ham
True,False,28,5,ham
False,False,9,2,ham
False,True,39,3,ham
False,False,25,1,ham
True,True,126,5,spam
False,True,162,8,spam
True,False,38,4,ham
False,True,34,1,ham
False,False,46,1,ham
True,True,155,4,spam
False,False,86,13,ham
False,True,33,2,ham
False,False,27,2,ham
True,True,156,9,ham
False,False,42,2,ham
False,False,25,0,ham
False,False,48,1,ham
False,True,159,7,spam
False,True,84,3,ham
False,False,33,3,ham
False,False,30,2,ham
False,False,45,3,ham
False,True,59,1,ham
False,False,25,6,ham
False,True,160,6,ham
False,False,384,16,ham
False,False,28,1,ham
False,False,27,4,ham
False,True,157,8,ham
False,True,124,2,spam
False,True,146,3,spam
False,False,115,1,ham
True,True,64,5,ham
False,False,85,5,ham
True,True,152,13,spam
False,True,155,6,spam
False,False,51,1,ham
False,True,157,5,spam
False,False,74,3,ham
False,False,67,2,ham
True,False,59,5,ham
False,False,50,2,ham
False,True,94,12,ham
False,False,33,1,ham
False,False,105,6,ham
False,False,61,7,ham
False,True,65,1,ham
False,False,26,1,ham
False,True,146,14,ham
False,True,66,1,ham
False,True,126,5,ham
False,True,159,3,ham
False,False,23,2,ham
False,False,65,2,ham
False,False,24,2,ham
False,False,26,1,ham
False,False,152,7,ham
False,False,34,1,ham
False,True,149,2,spam
False,True,55,1,ham
False,True,88,5,ham
True,False,72,5,spam
False,False,185,8,ham
True,False,37,4,ham
False,True,111,2,ham
False,True,92,3,ham
False,False,28,0,ham
False,False,28,0,ham
False,False,64,2,ham
True,True,131,5,ham
False,False,40,8,ham
False,False,28,5,ham
False,True,84,0,ham
False,False,174,16,ham
False,False,24,1,ham
False,True,25,1,ham
False,False,64,3,ham
False,False,156,13,ham
False,False,28,1,ham
False,False,86,4,ham
True,True,39,3,ham
False,False,73,4,ham
False,True,26,0,ham
True,False,23,7,ham
False,False,24,7,ham
False,False,31,2,ham
False,False,58,1,ham
False,False,48,3,ham
False,False,41,3,ham
False,False,32,0,ham
False,False,159,5,ham
False,False,25,2,ham
False,False,161,5,ham
False,True,22,2,ham
False,False,119,6,ham
True,True,143,11,spam
False,True,69,2,ham
False,True,137,6,spam
False,False,30,1,ham
False,False,165,12,ham
False,False,34,0,ham
False,True,109,7,ham
False,False,37,0,ham
False,False,33,2,ham
True,False,48,4,ham
False,True,157,8,spam
False,False,50,6,ham
False,True,65,0,ham
False,False,38,2,ham
True,True,145,14,ham
False,False,145,3,spam
False,False,51,1,ham
False,False,45,0,ham
False,False,83,5,ham
False,False,155,9,ham
False,False,37,2,ham
False,False,78,3,ham
False,True,30,0,ham
False,False,31,1,ham
False,False,146,5,ham
True,True,150,3,spam
False,False,44,0,ham
False,False,179,11,ham
False,False,27,2,ham
False,True,179,3,ham
False,False,38,3,ham
False,True,97,2,ham
False,False,43,3,ham
False,False,36,4,ham
False,True,154,4,spam
False,False,74,5,ham
False,False,3,0,ham
False,False,85,4,ham
False,False,51,3,ham
False,True,121,0,spam
False,False,26,1,ham
False,False,35,1,ham
False,True,47,1,ham
True,True,159,7,spam
False,True,47,3,ham
True,True,133,3,spam
False,False,53,2,ham
False,False,147,3,ham
True,True,155,7,spam
False,False,37,1,ham
False,False,31,2,ham
False,False,8,3,ham
False,False,38,0,ham
False,False,30,2,ham
False,False,47,2,ham
False,False,56,3,ham
False,False,22,1,ham
False,False,19,1,ham
False,False,29,1,ham
False,False,7,3,ham
False,True,121,3,ham
False,False,58,1,ham
False,False,4,2,ham
False,True,148,1,ham
True,True,160,14,ham
False,False,152,7,ham
False,False,37,1,ham
False,False,55,2,ham
False,False,21,2,ham
False,False,22,0,ham
False,False,50,2,ham
False,True,159,8,spam
False,True,67,1,ham
False,False,153,11,ham
False,True,51,1,ham
False,False,67,3,ham
True,False,88,2,ham
False,False,157,5,ham
False,True,91,2,ham
False,False,24,0,ham
True,True,146,15,spam
False,False,57,9,ham
False,False,26,1,ham
False,False,71,3,ham
False,True,138,6,spam
False,False,55,2,ham
False,False,156,3,ham
False,True,134,10,spam
False,True,119,3,ham
False,False,142,6,ham
False,False,41,2,ham
True,False,26,4,ham
False,True,119,14,ham
True,False,46,4,ham
False,True,157,4,spam
False,False,23,4,ham
False,False,51,3,ham
False,True,62,6,ham
False,False,107,2,ham
False,True,157,6,ham
False,False,30,2,ham
False,False,32,4,ham
True,False,31,3,ham
False,False,79,4,ham
False,True,32,2,ham
False,True,86,3,ham
True,False,22,5,ham
False,True,76,4,ham
False,True,128,4,spam
False,False,232,4,ham
True,True,159,7,spam
False,False,45,4,ham
False,False,57,2,ham
False,False,26,2,ham
False,True,22,2,ham
False,True,41,4,ham
False,False,28,2,ham
False,False,151,4,ham
False,False,29,1,ham
False,False,34,1,ham
False,False,52,1,ham
